date,sales_category,daily_sales
23 Mar 2024,Home and Furniture,8836.4
23 Mar 2024,Toys and Games,3399.48
23 Mar 2024,Health and Beauty,5487.14
23 Mar 2024,Automotive,7236.29
23 Mar 2024,Sports and Outdoors,4963.56
24 Mar 2024,Groceries,126468.29
24 Mar 2024,Electronics,15983.04
24 Mar 2024,Clothing and Apparel,12697.25
24 Mar 2024,Home and Furniture,12234.06
24 Mar 2024,Toys and Games,7383.58
24 Mar 2024,Health and Beauty,13379.76
24 Mar 2024,Automotive,4779.83
24 Mar 2024,Sports and Outdoors,7192.08
25 Mar 2024,Groceries,43070.62
25 Mar 2024,Electronics,4054.34
25 Mar 2024,Clothing and Apparel,2481.86
25 Mar 2024,Home and Furniture,4617.81
25 Mar 2024,Toys and Games,1464.79
25 Mar 2024,Health and Beauty,2202.41
25 Mar 2024,Automotive,1633.14
25 Mar 2024,Sports and Outdoors,1501.86
26 Mar 2024,Groceries,21684.34
26 Mar 2024,Electronics,3428.44
26 Mar 2024,Clothing and Apparel,1850.86
26 Mar 2024,Home and Furniture,4233.52
26 Mar 2024,Toys and Games,589.89
26 Mar 2024,Health and Beauty,1020.11
26 Mar 2024,Automotive,947.57
26 Mar 2024,Sports and Outdoors,2204.45
27 Mar 2024,Groceries,20900.47
27 Mar 2024,Electronics,4152.76
27 Mar 2024,Clothing and Apparel,5355.46
27 Mar 2024,Home and Furniture,1843.2
27 Mar 2024,Toys and Games,550.69
27 Mar 2024,Health and Beauty,2867.17
27 Mar 2024,Automotive,750.06
27 Mar 2024,Sports and Outdoors,1923.69
28 Mar 2024,Groceries,23706.69
28 Mar 2024,Electronics,22035.85
28 Mar 2024,Clothing and Apparel,2269.78
28 Mar 2024,Home and Furniture,2210.21
28 Mar 2024,Toys and Games,1173.72
28 Mar 2024,Health and Beauty,2046.57
28 Mar 2024,Automotive,2333.71
28 Mar 2024,Sports and Outdoors,1178.07
29 Mar 2024,Groceries,65749.5
29 Mar 2024,Electronics,10202.54
29 Mar 2024,Clothing and Apparel,17615.68
29 Mar 2024,Home and Furniture,6041.5
29 Mar 2024,Toys and Games,1455.67
29 Mar 2024,Health and Beauty,2262.22
29 Mar 2024,Automotive,1620.86
29 Mar 2024,Sports and Outdoors,2017.45
30 Mar 2024,Groceries,149127.52
30 Mar 2024,Electronics,22191.79
30 Mar 2024,Clothing and Apparel,7813.99
30 Mar 2024,Home and Furniture,19765.92
30 Mar 2024,Toys and Games,3213.56
30 Mar 2024,Health and Beauty,8349.36
30 Mar 2024,Automotive,3824.57
30 Mar 2024,Sports and Outdoors,12180.17
31 Mar 2024,Groceries,37140.44
31 Mar 2024,Electronics,7983.42
31 Mar 2024,Clothing and Apparel,16371.07
31 Mar 2024,Home and Furniture,14741.43
31 Mar 2024,Toys and Games,1057.55
31 Mar 2024,Health and Beauty,8056.12
31 Mar 2024,Automotive,2634.58
31 Mar 2024,Sports and Outdoors,5439.3
01 Apr 2024,Groceries,22598.73
01 Apr 2024,Electronics,8285.18
01 Apr 2024,Clothing and Apparel,4424.37
01 Apr 2024,Home and Furniture,1690.49
01 Apr 2024,Toys and Games,1603.84
01 Apr 2024,Health and Beauty,3604.99
01 Apr 2024,Automotive,2847.86
01 Apr 2024,Sports and Outdoors,2678.24
02 Apr 2024,Groceries,27279.3
02 Apr 2024,Electronics,3338.19
02 Apr 2024,Clothing and Apparel,2249.32
02 Apr 2024,Home and Furniture,2429.35
02 Apr 2024,Toys and Games,880.94
02 Apr 2024,Health and Beauty,2546.06
02 Apr 2024,Automotive,565.06
02 Apr 2024,Sports and Outdoors,1326.62
03 Apr 2024,Groceries,15281.44
03 Apr 2024,Electronics,6978.04
03 Apr 2024,Clothing and Apparel,2771.38
03 Apr 2024,Home and Furniture,3129.43
03 Apr 2024,Toys and Games,943.21
03 Apr 2024,Health and Beauty,4322.71
03 Apr 2024,Automotive,1147.5
03 Apr 2024,Sports and Outdoors,1782.41
04 Apr 2024,Groceries,67738.51
04 Apr 2024,Electronics,4053.82
04 Apr 2024,Clothing and Apparel,7584.51
04 Apr 2024,Home and Furniture,3673.34
04 Apr 2024,Toys and Games,1924.31
04 Apr 2024,Health and Beauty,2476.75
04 Apr 2024,Automotive,1137.64
04 Apr 2024,Sports and Outdoors,1542.57
05 Apr 2024,Groceries,44401.56
05 Apr 2024,Electronics,16463.98
05 Apr 2024,Clothing and Apparel,27665.42
05 Apr 2024,Home and Furniture,6648.77
05 Apr 2024,Toys and Games,3456.7
05 Apr 2024,Health and Beauty,3090.85
05 Apr 2024,Automotive,1839.19
05 Apr 2024,Sports and Outdoors,5703.67
06 Apr 2024,Groceries,172008.49
06 Apr 2024,Electronics,17844.79
06 Apr 2024,Clothing and Apparel,22254.06
06 Apr 2024,Home and Furniture,11753.48
06 Apr 2024,Toys and Games,4019.27
06 Apr 2024,Health and Beauty,4512.92
06 Apr 2024,Automotive,3051.87
06 Apr 2024,Sports and Outdoors,2299.94
07 Apr 2024,Groceries,41948.8
07 Apr 2024,Electronics,10699.19
07 Apr 2024,Clothing and Apparel,21128.92
07 Apr 2024,Home and Furniture,14110.4
07 Apr 2024,Toys and Games,6521.01
07 Apr 2024,Health and Beauty,7265.93
07 Apr 2024,Automotive,11091.4
07 Apr 2024,Sports and Outdoors,3139.77
08 Apr 2024,Groceries,43490.08
08 Apr 2024,Electronics,9443.02
08 Apr 2024,Clothing and Apparel,8622.37
08 Apr 2024,Home and Furniture,3426.15
08 Apr 2024,Toys and Games,1454.69
08 Apr 2024,Health and Beauty,5394.14
08 Apr 2024,Automotive,946.77
08 Apr 2024,Sports and Outdoors,7888.22
09 Apr 2024,Groceries,22807.97
09 Apr 2024,Electronics,4190.52
09 Apr 2024,Clothing and Apparel,2800.58
09 Apr 2024,Home and Furniture,2121.87
09 Apr 2024,Toys and Games,1839.7
09 Apr 2024,Health and Beauty,2671.88
09 Apr 2024,Automotive,1302.99
09 Apr 2024,Sports and Outdoors,1894.3
10 Apr 2024,Groceries,19040.45
10 Apr 2024,Electronics,4847.13
10 Apr 2024,Clothing and Apparel,2167.51
10 Apr 2024,Home and Furniture,4114.72
10 Apr 2024,Toys and Games,538.24
10 Apr 2024,Health and Beauty,3375.14
10 Apr 2024,Automotive,1071.84
10 Apr 2024,Sports and Outdoors,1411.72
11 Apr 2024,Groceries,48168.56
11 Apr 2024,Electronics,3885.63
11 Apr 2024,Clothing and Apparel,6112.39
11 Apr 2024,Home and Furniture,3672.96
11 Apr 2024,Toys and Games,1614.71
11 Apr 2024,Health and Beauty,4948.73
11 Apr 2024,Automotive,3473.85
11 Apr 2024,Sports and Outdoors,1224.6
12 Apr 2024,Groceries,32977.02
12 Apr 2024,Electronics,15304.58
12 Apr 2024,Clothing and Apparel,10099.8
12 Apr 2024,Home and Furniture,4613.26
12 Apr 2024,Toys and Games,3764.89
12 Apr 2024,Health and Beauty,18222.03
12 Apr 2024,Automotive,2547.9
12 Apr 2024,Sports and Outdoors,2087.62
13 Apr 2024,Groceries,166299.08
13 Apr 2024,Electronics,21684
13 Apr 2024,Clothing and Apparel,14054.78
13 Apr 2024,Home and Furniture,14346.34
13 Apr 2024,Toys and Games,5611.17
13 Apr 2024,Health and Beauty,16539.6
13 Apr 2024,Automotive,6636.08
13 Apr 2024,Sports and Outdoors,3048.25
14 Apr 2024,Groceries,25979.27
14 Apr 2024,Electronics,19709.38
14 Apr 2024,Clothing and Apparel,10881.25
14 Apr 2024,Home and Furniture,6978.8
14 Apr 2024,Toys and Games,3590.76
14 Apr 2024,Health and Beauty,16613.13
14 Apr 2024,Automotive,3317.9
14 Apr 2024,Sports and Outdoors,4378.04
15 Apr 2024,Groceries,59924.42
15 Apr 2024,Electronics,4699.45
15 Apr 2024,Clothing and Apparel,2700.54
15 Apr 2024,Home and Furniture,7641.76
15 Apr 2024,Toys and Games,1411.4
15 Apr 2024,Health and Beauty,3220.81
15 Apr 2024,Automotive,1926.75
15 Apr 2024,Sports and Outdoors,2107.28
16 Apr 2024,Groceries,21187.1
16 Apr 2024,Electronics,8377.66
16 Apr 2024,Clothing and Apparel,2964.74
16 Apr 2024,Home and Furniture,1141.52
16 Apr 2024,Toys and Games,1649.53
16 Apr 2024,Health and Beauty,1758.12
16 Apr 2024,Automotive,813.67
16 Apr 2024,Sports and Outdoors,1106.85
17 Apr 2024,Groceries,36583.23
17 Apr 2024,Electronics,7096.53
17 Apr 2024,Clothing and Apparel,2738.85
17 Apr 2024,Home and Furniture,3568.9
17 Apr 2024,Toys and Games,831.84
17 Apr 2024,Health and Beauty,2787.37
17 Apr 2024,Automotive,1709.18
17 Apr 2024,Sports and Outdoors,970.15
18 Apr 2024,Groceries,45201.53
18 Apr 2024,Electronics,13589.76
18 Apr 2024,Clothing and Apparel,2710.21
18 Apr 2024,Home and Furniture,9313.1
18 Apr 2024,Toys and Games,1772.62
18 Apr 2024,Health and Beauty,3473.32
18 Apr 2024,Automotive,1135.17
18 Apr 2024,Sports and Outdoors,2603.86
19 Apr 2024,Groceries,34990.22
19 Apr 2024,Electronics,20835.71
19 Apr 2024,Clothing and Apparel,20467.21
19 Apr 2024,Home and Furniture,9755.71
19 Apr 2024,Toys and Games,1348.25
19 Apr 2024,Health and Beauty,7154.74
19 Apr 2024,Automotive,1471.81
19 Apr 2024,Sports and Outdoors,2328.03
20 Apr 2024,Groceries,155708.77
20 Apr 2024,Electronics,20745.51
20 Apr 2024,Clothing and Apparel,11053.14
20 Apr 2024,Home and Furniture,7874.45
20 Apr 2024,Toys and Games,6326.91
20 Apr 2024,Health and Beauty,9807.25
20 Apr 2024,Automotive,9267.97
20 Apr 2024,Sports and Outdoors,3497.03
21 Apr 2024,Groceries,116258.67
21 Apr 2024,Electronics,23475.9
21 Apr 2024,Clothing and Apparel,14337.73
21 Apr 2024,Home and Furniture,10368.94
21 Apr 2024,Toys and Games,3434.34
21 Apr 2024,Health and Beauty,7008.44
21 Apr 2024,Automotive,1927.74
21 Apr 2024,Sports and Outdoors,6680.53
22 Apr 2024,Groceries,39865.76
22 Apr 2024,Electronics,8496.57
22 Apr 2024,Clothing and Apparel,4586.72
22 Apr 2024,Home and Furniture,2423.04
22 Apr 2024,Toys and Games,2369.4
22 Apr 2024,Health and Beauty,2470.11
22 Apr 2024,Automotive,1138.8
22 Apr 2024,Sports and Outdoors,1393.59
23 Apr 2024,Groceries,41894.51
23 Apr 2024,Electronics,6466.85
23 Apr 2024,Clothing and Apparel,3332.08
23 Apr 2024,Home and Furniture,1754.41
23 Apr 2024,Toys and Games,962.34
23 Apr 2024,Health and Beauty,2233.02
23 Apr 2024,Automotive,687.42
23 Apr 2024,Sports and Outdoors,2454.51
24 Apr 2024,Groceries,19483.96
24 Apr 2024,Electronics,6110.98
24 Apr 2024,Clothing and Apparel,3652.63
24 Apr 2024,Home and Furniture,2048.32
24 Apr 2024,Toys and Games,639.23
24 Apr 2024,Health and Beauty,2832.31
24 Apr 2024,Automotive,1426.34
24 Apr 2024,Sports and Outdoors,2462.33
25 Apr 2024,Groceries,19709.44
25 Apr 2024,Electronics,10489.16
25 Apr 2024,Clothing and Apparel,5975.6
25 Apr 2024,Home and Furniture,3590.37
25 Apr 2024,Toys and Games,1495.87
25 Apr 2024,Health and Beauty,6142.75
25 Apr 2024,Automotive,1442.12
25 Apr 2024,Sports and Outdoors,3471.68
26 Apr 2024,Groceries,63749.7
26 Apr 2024,Electronics,16063.51
26 Apr 2024,Clothing and Apparel,15031.85
26 Apr 2024,Home and Furniture,10863.59
26 Apr 2024,Toys and Games,1857.27
26 Apr 2024,Health and Beauty,5965.89
26 Apr 2024,Automotive,1806.49
26 Apr 2024,Sports and Outdoors,3592.91
27 Apr 2024,Groceries,62777.6
27 Apr 2024,Electronics,34608.46
27 Apr 2024,Clothing and Apparel,14133.11
27 Apr 2024,Home and Furniture,10817.44
27 Apr 2024,Toys and Games,5440.32
27 Apr 2024,Health and Beauty,14484.3
27 Apr 2024,Automotive,8089.49
27 Apr 2024,Sports and Outdoors,2095.46
28 Apr 2024,Groceries,128992.97
28 Apr 2024,Electronics,11367.72
28 Apr 2024,Clothing and Apparel,4944.99
28 Apr 2024,Home and Furniture,3574.97
28 Apr 2024,Toys and Games,5782.46
28 Apr 2024,Health and Beauty,6699.84
28 Apr 2024,Automotive,2835.19
28 Apr 2024,Sports and Outdoors,10440.94
29 Apr 2024,Groceries,39062.1
29 Apr 2024,Electronics,12539.43
29 Apr 2024,Clothing and Apparel,8801.35
29 Apr 2024,Home and Furniture,1409.11
29 Apr 2024,Toys and Games,1541.29
29 Apr 2024,Health and Beauty,3709.62
29 Apr 2024,Automotive,4789.24
29 Apr 2024,Sports and Outdoors,1064.25
30 Apr 2024,Groceries,13847.6
30 Apr 2024,Electronics,5563.55
30 Apr 2024,Clothing and Apparel,9732.19
30 Apr 2024,Home and Furniture,1722.6
30 Apr 2024,Toys and Games,845.06
30 Apr 2024,Health and Beauty,976.06
30 Apr 2024,Automotive,508.63
30 Apr 2024,Sports and Outdoors,570.31
01 May 2024,Groceries,65712.28
01 May 2024,Electronics,6011.85
01 May 2024,Clothing and Apparel,3758.36
01 May 2024,Home and Furniture,2116.32
01 May 2024,Toys and Games,514.42
01 May 2024,Health and Beauty,3161.47
01 May 2024,Automotive,1511.9
01 May 2024,Sports and Outdoors,1860.3
02 May 2024,Groceries,21141.69
02 May 2024,Electronics,6208.43
02 May 2024,Clothing and Apparel,12810.01
02 May 2024,Home and Furniture,2041.89
02 May 2024,Toys and Games,1620.89
02 May 2024,Health and Beauty,3210.54
02 May 2024,Automotive,4658.08
02 May 2024,Sports and Outdoors,2883.92
03 May 2024,Groceries,89114.18
03 May 2024,Electronics,13360.14
03 May 2024,Clothing and Apparel,6405.51
03 May 2024,Home and Furniture,5704.28
03 May 2024,Toys and Games,1747.25
03 May 2024,Health and Beauty,14768.55
03 May 2024,Automotive,1271.5
03 May 2024,Sports and Outdoors,5259.44
04 May 2024,Groceries,130680.91
04 May 2024,Electronics,39784.1
04 May 2024,Clothing and Apparel,9362.14
04 May 2024,Home and Furniture,7803.39
04 May 2024,Toys and Games,3697.68
04 May 2024,Health and Beauty,13269.63
04 May 2024,Automotive,6808.89
04 May 2024,Sports and Outdoors,2910.02
05 May 2024,Groceries,65909.09
05 May 2024,Electronics,14082.66
05 May 2024,Clothing and Apparel,22354.87
05 May 2024,Home and Furniture,3952.18
05 May 2024,Toys and Games,19946.36
05 May 2024,Health and Beauty,7412.52
05 May 2024,Automotive,7051.33
05 May 2024,Sports and Outdoors,2830.3
06 May 2024,Groceries,14657.03
06 May 2024,Electronics,4525.3
06 May 2024,Clothing and Apparel,8153.2
06 May 2024,Home and Furniture,6122.76
06 May 2024,Toys and Games,997.86
06 May 2024,Health and Beauty,3854.45
06 May 2024,Automotive,2877.52
06 May 2024,Sports and Outdoors,1639.53
07 May 2024,Groceries,17616.92
07 May 2024,Electronics,2257.22
07 May 2024,Clothing and Apparel,3017.64
07 May 2024,Home and Furniture,2330.45
07 May 2024,Toys and Games,689.66
07 May 2024,Health and Beauty,3405.29
07 May 2024,Automotive,1105.09
07 May 2024,Sports and Outdoors,839.3
08 May 2024,Groceries,36096.83
08 May 2024,Electronics,4984.67
08 May 2024,Clothing and Apparel,6268
08 May 2024,Home and Furniture,1471.68
08 May 2024,Toys and Games,1398.18
08 May 2024,Health and Beauty,2162.73
08 May 2024,Automotive,1088.61
08 May 2024,Sports and Outdoors,1714.76
09 May 2024,Groceries,38363.07
09 May 2024,Electronics,7596.87
09 May 2024,Clothing and Apparel,4133.46
09 May 2024,Home and Furniture,2219.79
09 May 2024,Toys and Games,2754.02
09 May 2024,Health and Beauty,4630.36
09 May 2024,Automotive,1909.87
09 May 2024,Sports and Outdoors,3560.37
10 May 2024,Groceries,61351.59
10 May 2024,Electronics,16497.71
10 May 2024,Clothing and Apparel,11419.96
10 May 2024,Home and Furniture,5546.28
10 May 2024,Toys and Games,2122.27
10 May 2024,Health and Beauty,9108.7
10 May 2024,Automotive,746.5
10 May 2024,Sports and Outdoors,2724.32
11 May 2024,Groceries,90881.81
11 May 2024,Electronics,44302.01
11 May 2024,Clothing and Apparel,34720.94
11 May 2024,Home and Furniture,10746.17
11 May 2024,Toys and Games,1737.79
11 May 2024,Health and Beauty,28564.52
11 May 2024,Automotive,9129.73
11 May 2024,Sports and Outdoors,9503.1
12 May 2024,Groceries,33418.35
12 May 2024,Electronics,31969.88
12 May 2024,Clothing and Apparel,17176.45
12 May 2024,Home and Furniture,11174.38
12 May 2024,Toys and Games,4461.04
12 May 2024,Health and Beauty,8302.98
12 May 2024,Automotive,3754.06
12 May 2024,Sports and Outdoors,5454.44
13 May 2024,Groceries,55161.53
13 May 2024,Electronics,10830.54
13 May 2024,Clothing and Apparel,5099.38
13 May 2024,Home and Furniture,8175.57
13 May 2024,Toys and Games,1412.84
13 May 2024,Health and Beauty,4619.98
13 May 2024,Automotive,2366.07
13 May 2024,Sports and Outdoors,2686.8
14 May 2024,Groceries,26930.01
14 May 2024,Electronics,6703.24
14 May 2024,Clothing and Apparel,1379.82
14 May 2024,Home and Furniture,2297.78
14 May 2024,Toys and Games,1130.89
14 May 2024,Health and Beauty,6911.69
14 May 2024,Automotive,1415.93
14 May 2024,Sports and Outdoors,1592.95
15 May 2024,Groceries,18572.07
15 May 2024,Electronics,4977.38
15 May 2024,Clothing and Apparel,2960.75
15 May 2024,Home and Furniture,3742.84
15 May 2024,Toys and Games,542.93
15 May 2024,Health and Beauty,2774.7
15 May 2024,Automotive,1018.43
15 May 2024,Sports and Outdoors,2156.89
16 May 2024,Groceries,23012.79
16 May 2024,Electronics,3891.67
16 May 2024,Clothing and Apparel,5699.59
16 May 2024,Home and Furniture,9069.69
16 May 2024,Toys and Games,1150.71
16 May 2024,Health and Beauty,5006.91
16 May 2024,Automotive,2167.57
16 May 2024,Sports and Outdoors,1535.92
17 May 2024,Groceries,52941.62
17 May 2024,Electronics,20410.99
17 May 2024,Clothing and Apparel,12121.68
17 May 2024,Home and Furniture,13049.94
17 May 2024,Toys and Games,4183.17
17 May 2024,Health and Beauty,6550.19
17 May 2024,Automotive,1578.12
17 May 2024,Sports and Outdoors,2723.88
18 May 2024,Groceries,141654.86
18 May 2024,Electronics,17990.58
18 May 2024,Clothing and Apparel,6148.82
18 May 2024,Home and Furniture,21631.88
18 May 2024,Toys and Games,3807.12
18 May 2024,Health and Beauty,7115.49
18 May 2024,Automotive,6626.33
18 May 2024,Sports and Outdoors,7226.2
19 May 2024,Groceries,163433.76
19 May 2024,Electronics,12567.82
19 May 2024,Clothing and Apparel,11857.58
19 May 2024,Home and Furniture,8061.83
19 May 2024,Toys and Games,3539.24
19 May 2024,Health and Beauty,10512.95
19 May 2024,Automotive,9297.34
19 May 2024,Sports and Outdoors,5771.41
20 May 2024,Groceries,21712.29
20 May 2024,Electronics,12759.52
20 May 2024,Clothing and Apparel,4448.86
20 May 2024,Home and Furniture,2860.98
20 May 2024,Toys and Games,892.14
20 May 2024,Health and Beauty,2447.93
20 May 2024,Automotive,1342
20 May 2024,Sports and Outdoors,1164.39
21 May 2024,Groceries,13318.5
21 May 2024,Electronics,9264.05
21 May 2024,Clothing and Apparel,6006.12
21 May 2024,Home and Furniture,1085.67
21 May 2024,Toys and Games,2779.05
21 May 2024,Health and Beauty,5235.35
21 May 2024,Automotive,1370.87
21 May 2024,Sports and Outdoors,2113.13
22 May 2024,Groceries,12017.19
22 May 2024,Electronics,11558.8
22 May 2024,Clothing and Apparel,5326.99
22 May 2024,Home and Furniture,2376.17
22 May 2024,Toys and Games,836.74
22 May 2024,Health and Beauty,3450.66
22 May 2024,Automotive,740.07
22 May 2024,Sports and Outdoors,888.36
23 May 2024,Groceries,41552.73
23 May 2024,Electronics,4672.51
23 May 2024,Clothing and Apparel,14778.81
23 May 2024,Home and Furniture,4614.41
23 May 2024,Toys and Games,2616.19
23 May 2024,Health and Beauty,2584.27
23 May 2024,Automotive,4327.71
23 May 2024,Sports and Outdoors,2103.36
24 May 2024,Groceries,94018.63
24 May 2024,Electronics,9096.78
24 May 2024,Clothing and Apparel,10873.3
24 May 2024,Home and Furniture,5578.32
24 May 2024,Toys and Games,2528.69
24 May 2024,Health and Beauty,7964.76
24 May 2024,Automotive,5370.2
24 May 2024,Sports and Outdoors,1207.76
25 May 2024,Groceries,61042.9
25 May 2024,Electronics,27341.18
25 May 2024,Clothing and Apparel,18419.79
25 May 2024,Home and Furniture,8946.03
25 May 2024,Toys and Games,3060.05
25 May 2024,Health and Beauty,8806.75
25 May 2024,Automotive,13438.91
25 May 2024,Sports and Outdoors,6124.83
26 May 2024,Groceries,88087
26 May 2024,Electronics,15820.22
26 May 2024,Clothing and Apparel,11113.75
26 May 2024,Home and Furniture,14059.91
26 May 2024,Toys and Games,3868.72
26 May 2024,Health and Beauty,6506.02
26 May 2024,Automotive,7000.54
26 May 2024,Sports and Outdoors,2321.02
27 May 2024,Groceries,33785.19
27 May 2024,Electronics,4829.39
27 May 2024,Clothing and Apparel,11064.78
27 May 2024,Home and Furniture,14041.35
27 May 2024,Toys and Games,2945.87
27 May 2024,Health and Beauty,5350.31
27 May 2024,Automotive,1348.14
27 May 2024,Sports and Outdoors,2687.43
28 May 2024,Groceries,25492.52
28 May 2024,Electronics,6752.06
28 May 2024,Clothing and Apparel,2747.68
28 May 2024,Home and Furniture,1997.19
28 May 2024,Toys and Games,2307.94
28 May 2024,Health and Beauty,2741.63
28 May 2024,Automotive,3328.14
28 May 2024,Sports and Outdoors,2203.55
29 May 2024,Groceries,30537.55
29 May 2024,Electronics,6831.83
29 May 2024,Clothing and Apparel,10338.87
29 May 2024,Home and Furniture,5035.29
29 May 2024,Toys and Games,2235.82
29 May 2024,Health and Beauty,5394.83
29 May 2024,Automotive,2036.41
29 May 2024,Sports and Outdoors,1969.21
30 May 2024,Groceries,13018.89
30 May 2024,Electronics,10263.84
30 May 2024,Clothing and Apparel,4444
30 May 2024,Home and Furniture,4210.38
30 May 2024,Toys and Games,860.51
30 May 2024,Health and Beauty,5350.92
30 May 2024,Automotive,4262.48
30 May 2024,Sports and Outdoors,3021.21
31 May 2024,Groceries,42205.12
31 May 2024,Electronics,31703.25
31 May 2024,Clothing and Apparel,7896.91
31 May 2024,Home and Furniture,6566.65
31 May 2024,Toys and Games,2298.21
31 May 2024,Health and Beauty,4041.3
31 May 2024,Automotive,5270.02
31 May 2024,Sports and Outdoors,3738.12
01 Jun 2024,Groceries,175324.25
01 Jun 2024,Electronics,35222.57
01 Jun 2024,Clothing and Apparel,10183.61
01 Jun 2024,Home and Furniture,11723.96
01 Jun 2024,Toys and Games,4608.79
01 Jun 2024,Health and Beauty,22965.57
01 Jun 2024,Automotive,6679.53
01 Jun 2024,Sports and Outdoors,5645.43
02 Jun 2024,Groceries,54860.61
02 Jun 2024,Electronics,78765.89
02 Jun 2024,Clothing and Apparel,14662.03
02 Jun 2024,Home and Furniture,7579.59
02 Jun 2024,Toys and Games,10231.45
02 Jun 2024,Health and Beauty,15348.21
02 Jun 2024,Automotive,4030.5
02 Jun 2024,Sports and Outdoors,2957.5
03 Jun 2024,Groceries,86241.3
03 Jun 2024,Electronics,7655.94
03 Jun 2024,Clothing and Apparel,9403.45
03 Jun 2024,Home and Furniture,4100.48
03 Jun 2024,Toys and Games,4196.29
03 Jun 2024,Health and Beauty,7206.01
03 Jun 2024,Automotive,2084.09
03 Jun 2024,Sports and Outdoors,3236.96
04 Jun 2024,Groceries,19781.19
04 Jun 2024,Electronics,3438.1
04 Jun 2024,Clothing and Apparel,10402.65
04 Jun 2024,Home and Furniture,7299.21
04 Jun 2024,Toys and Games,1641.61
04 Jun 2024,Health and Beauty,3402.12
04 Jun 2024,Automotive,3136.82
04 Jun 2024,Sports and Outdoors,2066.75
05 Jun 2024,Groceries,23088.74
05 Jun 2024,Electronics,4750.56
05 Jun 2024,Clothing and Apparel,4063.01
05 Jun 2024,Home and Furniture,3974.67
05 Jun 2024,Toys and Games,2931.77
05 Jun 2024,Health and Beauty,7924.35
05 Jun 2024,Automotive,3011.62
05 Jun 2024,Sports and Outdoors,1313.99
06 Jun 2024,Groceries,56597.07
06 Jun 2024,Electronics,8890.38
06 Jun 2024,Clothing and Apparel,10002.32
06 Jun 2024,Home and Furniture,12613.62
06 Jun 2024,Toys and Games,2142.27
06 Jun 2024,Health and Beauty,10769.87
06 Jun 2024,Automotive,4179.33
06 Jun 2024,Sports and Outdoors,2438.73
07 Jun 2024,Groceries,62914.35
07 Jun 2024,Electronics,25996.43
07 Jun 2024,Clothing and Apparel,8618.41
07 Jun 2024,Home and Furniture,10576.05
07 Jun 2024,Toys and Games,4188.77
07 Jun 2024,Health and Beauty,15098.51
07 Jun 2024,Automotive,4217.59
07 Jun 2024,Sports and Outdoors,4539.48
08 Jun 2024,Groceries,207473.83
08 Jun 2024,Electronics,22141.42
08 Jun 2024,Clothing and Apparel,13624.57
08 Jun 2024,Home and Furniture,9443.38
08 Jun 2024,Toys and Games,6233.61
08 Jun 2024,Health and Beauty,9233.75
08 Jun 2024,Automotive,9146.03
08 Jun 2024,Sports and Outdoors,5324.6
09 Jun 2024,Groceries,48537.6
09 Jun 2024,Electronics,15849.67
09 Jun 2024,Clothing and Apparel,12275.54
09 Jun 2024,Home and Furniture,25189.02
09 Jun 2024,Toys and Games,6033.6
09 Jun 2024,Health and Beauty,32546.55
09 Jun 2024,Automotive,10334.94
09 Jun 2024,Sports and Outdoors,6997.61
10 Jun 2024,Groceries,18075.35
10 Jun 2024,Electronics,13494.15
10 Jun 2024,Clothing and Apparel,20531.2
10 Jun 2024,Home and Furniture,9003.13
10 Jun 2024,Toys and Games,3435.73
10 Jun 2024,Health and Beauty,9512.27
10 Jun 2024,Automotive,3264.48
10 Jun 2024,Sports and Outdoors,2910.38
11 Jun 2024,Groceries,49554.86
11 Jun 2024,Electronics,9019.88
11 Jun 2024,Clothing and Apparel,7079.96
11 Jun 2024,Home and Furniture,5989.31
11 Jun 2024,Toys and Games,1954.05
11 Jun 2024,Health and Beauty,4346.44
11 Jun 2024,Automotive,1072.26
11 Jun 2024,Sports and Outdoors,1954.56
12 Jun 2024,Groceries,35896.28
12 Jun 2024,Electronics,7448.04
12 Jun 2024,Clothing and Apparel,14755.68
12 Jun 2024,Home and Furniture,8963.11
12 Jun 2024,Toys and Games,2445.94
12 Jun 2024,Health and Beauty,7417.85
12 Jun 2024,Automotive,4817.19
12 Jun 2024,Sports and Outdoors,3430.96
13 Jun 2024,Groceries,30995.64
13 Jun 2024,Electronics,4689.04
13 Jun 2024,Clothing and Apparel,10196.16
13 Jun 2024,Home and Furniture,4448.35
13 Jun 2024,Toys and Games,1585.06
13 Jun 2024,Health and Beauty,10389.84
13 Jun 2024,Automotive,1594.76
13 Jun 2024,Sports and Outdoors,1692.59
14 Jun 2024,Groceries,30543.7
14 Jun 2024,Electronics,11599.84
14 Jun 2024,Clothing and Apparel,4911.28
14 Jun 2024,Home and Furniture,3115.61
14 Jun 2024,Toys and Games,8370.93
14 Jun 2024,Health and Beauty,15696.27
14 Jun 2024,Automotive,1878.1
14 Jun 2024,Sports and Outdoors,2588.39
15 Jun 2024,Groceries,118032.44
15 Jun 2024,Electronics,48071.04
15 Jun 2024,Clothing and Apparel,42031.48
15 Jun 2024,Home and Furniture,18891.77
15 Jun 2024,Toys and Games,11872.69
15 Jun 2024,Health and Beauty,17538.36
15 Jun 2024,Automotive,12275.4
15 Jun 2024,Sports and Outdoors,6211.17
16 Jun 2024,Groceries,157130.35
16 Jun 2024,Electronics,20110.88
16 Jun 2024,Clothing and Apparel,20838.16
16 Jun 2024,Home and Furniture,5636.75
16 Jun 2024,Toys and Games,13542.98
16 Jun 2024,Health and Beauty,7622.9
